,reference_year,adm2_name,mean,price_var
0,2014,Bankass,174.78166666666667,0.24544025157231886
1,2014,Koro,174.78166666666667,0.24544025157231886
2,2014,Douentza,174.78166666666667,0.24544025157231886
3,2014,Djenne,174.78166666666667,0.24544025157231886
4,2014,Bandiagara,174.78166666666667,0.24544025157231886
5,2014,Tenenkou,174.78166666666667,0.24544025157231886
6,2014,Mopti,174.78166666666667,0.24544025157231886
7,2014,Youwarou,174.78166666666667,0.24544025157231886
8,2014,Gourma-Rharous,239.8014705882353,-0.9485294117646959
9,2014,Dire,239.8014705882353,-0.9485294117646959
10,2014,Niafunke,239.8014705882353,-0.9485294117646959
11,2014,Gao,211.675,-13.324999999999989
12,2014,Ansongo,211.675,-13.324999999999989
13,2014,Menaka,211.675,-13.324999999999989
14,2014,Bourem,211.675,-13.324999999999989
15,2014,Yatenga,190.40345000000005,-2.6482456521738698
16,2014,Loroum,190.40345000000005,-2.6482456521738698
17,2014,Yagha,230.93333333333334,-3.8917909090909006
18,2014,Seno,230.93333333333334,-3.8917909090909006
19,2014,Soum,230.93333333333334,-3.8917909090909006
20,2014,Oudalan,230.93333333333334,-3.8917909090909006
21,2014,Komonjdjari,197.3,0.3779181818182167
22,2014,Tillia,233.01593071428573,-43.53670285214787
23,2014,Banibangou,249.95028854961845,-4.940854307524404
24,2014,Filingue,249.95028854961845,-4.940854307524404
25,2014,Ouallam,249.95028854961845,-4.940854307524404
26,2014,Say,249.95028854961845,-4.940854307524404
27,2014,Tera,249.95028854961845,-4.940854307524404
28,2014,Torodi,249.95028854961845,-4.940854307524404
29,2014,Abala,249.95028854961845,-4.940854307524404
30,2014,Ayerou,249.95028854961845,-4.940854307524404
31,2015,Bankass,164.75,-10.031666666666666
32,2015,Koro,164.75,-10.031666666666666
33,2015,Douentza,164.75,-10.031666666666666
34,2015,Djenne,164.75,-10.031666666666666
35,2015,Bandiagara,164.75,-10.031666666666666
36,2015,Tenenkou,164.75,-10.031666666666666
37,2015,Mopti,164.75,-10.031666666666666
38,2015,Youwarou,164.75,-10.031666666666666
39,2015,Gourma-Rharous,228.75757575757575,-11.043894830659553
40,2015,Dire,228.75757575757575,-11.043894830659553
41,2015,Niafunke,228.75757575757575,-11.043894830659553
42,2015,Gao,204.8181818181818,-6.856818181818198
43,2015,Ansongo,204.8181818181818,-6.856818181818198
44,2015,Menaka,204.8181818181818,-6.856818181818198
45,2015,Bourem,204.8181818181818,-6.856818181818198
46,2015,Yatenga,191.67025,1.2667999999999608
47,2015,Loroum,191.67025,1.2667999999999608
48,2015,Yagha,217.75,-13.183333333333337
49,2015,Seno,217.75,-13.183333333333337
50,2015,Soum,217.75,-13.183333333333337
51,2015,Oudalan,217.75,-13.183333333333337
52,2015,Komonjdjari,176.9375,-20.36250000000001
53,2015,Tillia,193.83857816901414,-39.17735254527159
54,2015,Banibangou,224.0879253846154,-25.862363165003046
55,2015,Filingue,224.0879253846154,-25.862363165003046
56,2015,Ouallam,224.0879253846154,-25.862363165003046
57,2015,Say,224.0879253846154,-25.862363165003046
58,2015,Tera,224.0879253846154,-25.862363165003046
59,2015,Torodi,224.0879253846154,-25.862363165003046
60,2015,Abala,224.0879253846154,-25.862363165003046
61,2015,Ayerou,224.0879253846154,-25.862363165003046
62,2016,Bankass,169.01980198019803,4.269801980198025
63,2016,Koro,169.01980198019803,4.269801980198025
64,2016,Douentza,169.01980198019803,4.269801980198025
65,2016,Djenne,169.01980198019803,4.269801980198025
66,2016,Bandiagara,169.01980198019803,4.269801980198025
67,2016,Tenenkou,169.01980198019803,4.269801980198025
68,2016,Mopti,169.01980198019803,4.269801980198025
69,2016,Youwarou,169.01980198019803,4.269801980198025
70,2016,Gourma-Rharous,227.36111111111111,-1.3964646464646364
71,2016,Dire,227.36111111111111,-1.3964646464646364
72,2016,Niafunke,227.36111111111111,-1.3964646464646364
73,2016,Gao,209.79166666666666,4.973484848484844
74,2016,Ansongo,209.79166666666666,4.973484848484844
75,2016,Menaka,209.79166666666666,4.973484848484844
76,2016,Bourem,209.79166666666666,4.973484848484844
77,2016,Yatenga,200.0,8.32974999999999
78,2016,Loroum,200.0,8.32974999999999
79,2016,Yagha,228.75,11.0
80,2016,Seno,228.75,11.0
81,2016,Soum,228.75,11.0
82,2016,Oudalan,228.75,11.0
83,2016,Komonjdjari,167.58333333333334,-9.354166666666657
84,2016,Tillia,211.67424242424244,17.835664255228295
85,2016,Banibangou,233.96875,9.880824615384597
86,2016,Filingue,233.96875,9.880824615384597
87,2016,Ouallam,233.96875,9.880824615384597
88,2016,Say,233.96875,9.880824615384597
89,2016,Tera,233.96875,9.880824615384597
90,2016,Torodi,233.96875,9.880824615384597
91,2016,Abala,233.96875,9.880824615384597
92,2016,Ayerou,233.96875,9.880824615384597
93,2017,Bankass,206.08879781420765,37.06899583400963
94,2017,Koro,206.08879781420765,37.06899583400963
95,2017,Douentza,206.08879781420765,37.06899583400963
96,2017,Djenne,206.08879781420765,37.06899583400963
97,2017,Bandiagara,206.08879781420765,37.06899583400963
98,2017,Tenenkou,206.08879781420765,37.06899583400963
99,2017,Mopti,206.08879781420765,37.06899583400963
100,2017,Youwarou,206.08879781420765,37.06899583400963
101,2017,Gourma-Rharous,250.67241379310346,23.311302681992345
102,2017,Dire,250.67241379310346,23.311302681992345
103,2017,Niafunke,250.67241379310346,23.311302681992345
104,2017,Gao,258.17894736842106,48.387280701754406
105,2017,Ansongo,258.17894736842106,48.387280701754406
106,2017,Menaka,258.17894736842106,48.387280701754406
